"","genus","species","GrowthT","Rep","a_root_area","b_root_area","c_root_area","RMSE_root_area","r2_root_area","a_root_mass","b_root_mass","c_root_mass","RMSE_root_mass","r2_root_mass"
"data","Cucumis","sativa","20","1","-1.27203289743569","0.078682918209955","-0.00108840450035497","0.0517928128363416","0.860890831846244","-5.99143661659157","0.0784890035993051","-0.00108735001612173","0.0527153037478049","0.854405148763914"
"data","Cucumis","sativa","20","2","-0.0865472923409345","0.0462963887375706","-0.00109748951458768","0.0147526015460534","0.975611662077775","-4.55547755705399","0.0454721012374417","-0.00108113040936968","0.0160930968428451","0.970561534152534"
"data","Cucumis","sativa","25","2","-1.38687318430573","0.208889698755419","-0.00471989951912799","0.196525695776661","0.769901184977085","-6.40731112670869","0.208030408578279","-0.00469936099670301","0.195639923410346","0.769708573268488"
"data","Cucumis","sativa","30","1","-0.608665387240348","0.0285715881374404","-0.00028302339423882","0.0537317308600742","0.730675802867732","-5.16038292343565","0.028527808480194","-0.000283152316212089","0.0525713390990426","0.738818409328015"
"data","Cucumis","sativa","35","1","-1.80039183218177","0.189000282981338","-0.00367960190680749","0.205532420033417","0.67877729081587","-6.18434348023723","0.189286212110863","-0.00368697961737424","0.206003581158555","0.679437260228105"
"data","Cucumis","sativa","35","2","-1.5469798110336","0.206772134828571","-0.00433108439174361","0.0193165631884163","0.995220614098491","-5.9947118967099","0.207959627383263","-0.00435422708512354","0.0182899543912518","0.995749913546072"
"data","Glycine","max","15","2","-2.47134347264311","0.334974322162017","-0.00683877452137555","0.629814465730174","0.423672216636622","-7.66355145874356","0.335750212312253","-0.00685634313600245","0.631985766306533","0.423563931442032"
"data","Glycine","max","15","3","-1.17205954058973","0.183514189708311","-0.00353943647556752","0.249605812431278","0.561035806756495","-6.18640921531773","0.183430195651555","-0.00354107417429029","0.251102787324434","0.559158899106619"
"data","Glycine","max","15","4","-1.82984143153181","0.223080456552179","-0.00450608667837158","0.139032157010012","0.72569832454747","-6.68830853715467","0.222824395396672","-0.00449824966898836","0.140094379652378","0.720153867845161"
"data","Glycine","max","15","5","-6.20456947158782","0.468221073174403","-0.00735169192837079","0.179547047547616","0.488367635280594","-11.1864093973832","0.467966302276194","-0.007349591985088","0.180341417859959","0.485512624919703"
