"","Genus","Species","Date","GrowthT","Rep","LeafT","Resp","Rarea","Rmass","individual1","individual","LeafT2"
"79","Cucumis","sativa","1/12/15",15,1,41.00181493,-1.014206323,1.014206323,0.02622105751,"Cucumissativa15","Cucumissativa15r1",1681.14882755397
"80","Cucumis","sativa","1/12/15",15,1,43.71435027,-1.376504373,1.376504373,0.03558782813,"Cucumissativa15","Cucumissativa15r1",1910.94441952825
"81","Cucumis","sativa","1/12/15",15,2,13.94302568,-0.619819897,0.619819897,0.01544183127,"Cucumissativa15","Cucumissativa15r2",194.407965113139
"82","Cucumis","sativa","1/12/15",15,2,23.5758582,-1.487320337,1.487320337,0.03705423108,"Cucumissativa15","Cucumissativa15r2",555.821089866507
"83","Cucumis","sativa","1/12/15",15,2,32.57276362,-2.364045884,2.364045884,0.05889645983,"Cucumissativa15","Cucumissativa15r2",1060.9849298444
"84","Cucumis","sativa","1/12/15",15,2,41.06021436,-3.893147693,3.893147693,0.09699161011,"Cucumissativa15","Cucumissativa15r2",1685.94120328915
"85","Cucumis","sativa","1/12/15",15,2,43.87342121,-4.151984993,4.151984993,0.1034401316,"Cucumissativa15","Cucumissativa15r2",1924.87708867008
"86","Cucumis","sativa","1/12/15",15,3,13.76877737,-0.883473171,0.883473171,0.02009135566,"Cucumissativa15","Cucumissativa15r3",189.579230264624
"87","Cucumis","sativa","1/12/15",15,3,22.65036147,-0.791745367,0.791745367,0.01800534332,"Cucumissativa15","Cucumissativa15r3",513.038874721661
"88","Cucumis","sativa","1/12/15",15,3,31.75772253,-1.791589525,1.791589525,0.04074313011,"Cucumissativa15","Cucumissativa15r3",1008.55294029247
"89","Cucumis","sativa","1/12/15",15,3,40.8868424,-3.095876566,3.095876566,0.07040435321,"Cucumissativa15","Cucumissativa15r3",1671.73388144244
"90","Cucumis","sativa","1/12/15",15,3,46.05996231,-3.692647138,3.692647138,0.08397571022,"Cucumissativa15","Cucumissativa15r3",2121.52012799862
"91","Cucumis","sativa","1/5/15",20,1,13.86125872,-0.056477806,0.056477806,0.001456230085,"Cucumissativa20","Cucumissativa20r1",192.134493302776
"92","Cucumis","sativa","1/5/15",20,1,23.04456407,-0.675122363,0.675122363,0.01740743071,"Cucumissativa20","Cucumissativa20r1",531.051933176335
"93","Cucumis","sativa","1/5/15",20,1,31.9640463,-1.282930272,1.282930272,0.03307921802,"Cucumissativa20","Cucumissativa20r1",1021.70025586854
"94","Cucumis","sativa","1/5/15",20,1,40.91868174,-1.731106929,1.731106929,0.04463505519,"Cucumissativa20","Cucumissativa20r1",1674.33851533941
"95","Cucumis","sativa","1/5/15",20,1,44.32122543,-1.738944305,1.738944305,0.04483713498,"Cucumissativa20","Cucumissativa20r1",1964.37102361688
"96","Cucumis","sativa","1/5/15",20,2,13.67045301,-0.846136574,0.846136574,0.01908842662,"Cucumissativa20","Cucumissativa20r2",186.881285498618
"97","Cucumis","sativa","1/5/15",20,2,22.65032716,-1.319371814,1.319371814,0.02976438183,"Cucumissativa20","Cucumissativa20r2",513.037320455034
"98","Cucumis","sativa","1/5/15",20,2,31.86236059,-2.784232675,2.784232675,0.06281092527,"Cucumissativa20","Cucumissativa20r2",1015.21002236719
"99","Cucumis","sativa","1/5/15",20,2,40.85294908,-4.193380999,4.193380999,0.09460062117,"Cucumissativa20","Cucumissativa20r2",1668.96344853307
"100","Cucumis","sativa","1/5/15",20,2,46.12460572,-4.231161493,4.231161493,0.09545293062,"Cucumissativa20","Cucumissativa20r2",2127.47925282546
"105","Cucumis","sativa","2/18/15",25,2,13.78387389,-0.475085857,0.475085857,0.01090668715,"Cucumissativa25","Cucumissativa25r2",189.995179415424
"106","Cucumis","sativa","2/18/15",25,2,23.28264202,-0.980065688,0.980065688,0.02249965912,"Cucumissativa25","Cucumissativa25r2",542.08141943147
"107","Cucumis","sativa","2/18/15",25,2,32.00530425,-1.522046074,1.522046074,0.03494206384,"Cucumissativa25","Cucumissativa25r2",1024.33950013507
"108","Cucumis","sativa","2/18/15",25,2,41.11645906,-2.537457811,2.537457811,0.0582531727,"Cucumissativa25","Cucumissativa25r2",1690.56320563266
"109","Cucumis","sativa","1/23/15",30,1,13.81460144,-0.074795009,0.074795009,0.001709106682,"Cucumissativa30","Cucumissativa30r1",190.84321294605
"110","Cucumis","sativa","1/23/15",30,1,23.29703747,-0.468786624,0.468786624,0.01071202956,"Cucumissativa30","Cucumissativa30r1",542.751954878584
"111","Cucumis","sativa","1/23/15",30,1,31.93902432,-0.800461899,0.800461899,0.01829099015,"Cucumissativa30","Cucumissativa30r1",1020.10127451355
"112","Cucumis","sativa","1/23/15",30,1,41.02664931,-1.299631051,1.299631051,0.029697277,"Cucumissativa30","Cucumissativa30r1",1683.18595360572
"113","Cucumis","sativa","1/23/15",30,1,43.11277371,-1.260223365,1.260223365,0.02879678992,"Cucumissativa30","Cucumissativa30r1",1858.71125696967
"124","Cucumis","sativa","2/10/15",35,1,13.91006032,-0.341127293,0.341127293,0.01147395107,"Cucumissativa35","Cucumissativa35r1",193.489778106039
"125","Cucumis","sativa","2/10/15",35,1,22.74146834,-1.201868274,1.201868274,0.04042531347,"Cucumissativa35","Cucumissativa35r1",517.174382259222
"126","Cucumis","sativa","2/10/15",35,1,31.99985886,-1.961741322,1.961741322,0.06598394318,"Cucumissativa35","Cucumissativa35r1",1023.99096705992
"127","Cucumis","sativa","2/10/15",35,1,40.82816855,-2.885700064,2.885700064,0.09706165994,"Cucumissativa35","Cucumissativa35r1",1666.93934714721
"128","Cucumis","sativa","2/10/15",35,1,41.51528531,-2.84866089,2.84866089,0.09581583272,"Cucumissativa35","Cucumissativa35r1",1723.5189143707
"129","Cucumis","sativa","2/10/15",35,2,13.7609246,-0.531841031,0.531841031,0.02330189587,"Cucumissativa35","Cucumissativa35r2",189.363045846885
"130","Cucumis","sativa","2/10/15",35,2,22.86857458,-1.150246705,1.150246705,0.05039650458,"Cucumissativa35","Cucumissativa35r2",522.971703321022
"131","Cucumis","sativa","2/10/15",35,2,32.05272428,-1.872671226,1.872671226,0.08204855845,"Cucumissativa35","Cucumissativa35r2",1027.3771337697
"132","Cucumis","sativa","2/10/15",35,2,40.90302901,-2.750515847,2.750515847,0.120510134,"Cucumissativa35","Cucumissativa35r2",1673.0577821929
"133","Cucumis","sativa","2/10/15",35,2,41.63351215,-2.538271607,2.538271607,0.1112109395,"Cucumissativa35","Cucumissativa35r2",1733.3493339442
"143","Glycine","max","1/7/15",15,2,14.07596558,-0.665395816,0.665395816,0.01486174049,"Glycinemax15","Glycinemax15r2",198.132807009345
"144","Glycine","max","1/7/15",15,2,23.24410421,-1.126356113,1.126356113,0.02515737526,"Glycinemax15","Glycinemax15r2",540.28838052534
"145","Glycine","max","1/7/15",15,2,32.14958642,-2.004398126,2.004398126,0.04476860848,"Glycinemax15","Glycinemax15r2",1033.59590697705
"146","Glycine","max","1/7/15",15,2,41.44817817,-3.484413445,3.484413445,0.07782502853,"Glycinemax15","Glycinemax15r2",1717.95147361206
"147","Glycine","max","1/7/15",15,2,43.23781724,-3.554928851,3.554928851,0.07940000336,"Glycinemax15","Glycinemax15r2",1869.50883967964
"148","Glycine","max","1/7/15",15,3,13.71534913,-0.719051392,0.719051392,0.01457880888,"Glycinemax15","Glycinemax15r3",188.110801757792
"149","Glycine","max","1/7/15",15,3,22.79205881,-0.518568572,0.518568572,0.01051400802,"Glycinemax15","Glycinemax15r3",519.477944798499
"150","Glycine","max","1/7/15",15,3,31.9121933,-0.652035067,0.652035067,0.01322004897,"Glycinemax15","Glycinemax15r3",1018.38808121656
"151","Glycine","max","1/7/15",15,3,40.83816746,-0.693554758,0.693554758,0.01406186313,"Glycinemax15","Glycinemax15r3",1667.755921491
"152","Glycine","max","1/7/15",15,3,46.40358379,-0.964443818,0.964443818,0.01955415461,"Glycinemax15","Glycinemax15r3",2153.29258855555
"153","Glycine","max","2/6/15",15,4,13.86675627,-0.381494432,0.381494432,0.01293325424,"Glycinemax15","Glycinemax15r4",192.286929451584
"154","Glycine","max","2/6/15",15,4,22.83743997,-1.063063474,1.063063474,0.0360395042,"Glycinemax15","Glycinemax15r4",521.548664383354
"155","Glycine","max","2/6/15",15,4,31.92776489,-1.988580451,1.988580451,0.06741596834,"Glycinemax15","Glycinemax15r4",1019.38217087112
"156","Glycine","max","2/6/15",15,4,41.00489012,-2.971959706,2.971959706,0.1007540537,"Glycinemax15","Glycinemax15r4",1681.40101375327
"157","Glycine","max","2/6/15",15,4,43.28980099,-3.20339642,3.20339642,0.108600118,"Glycinemax15","Glycinemax15r4",1874.00686975381
"158","Glycine","max","2/6/15",15,5,13.84892346,-0.407640536,0.407640536,0.01161464998,"Glycinemax15","Glycinemax15r5",191.792681000938
"159","Glycine","max","2/6/15",15,5,23.21082592,-0.944691806,0.944691806,0.02691652006,"Glycinemax15","Glycinemax15r5",538.742439888544
"160","Glycine","max","2/6/15",15,5,32.48566055,-1.864421065,1.864421065,0.05312179769,"Glycinemax15","Glycinemax15r5",1055.31814136983
"161","Glycine","max","2/6/15",15,5,41.00574643,-3.155590849,3.155590849,0.08991030077,"Glycinemax15","Glycinemax15r5",1681.47124028146
"162","Glycine","max","2/6/15",15,5,43.45718275,-3.281616636,3.281616636,0.09350107567,"Glycinemax15","Glycinemax15r5",1888.5267325669
"163","Glycine","max","2/6/15",15,6,13.74987427,-0.598937792,0.598937792,0.01424326995,"Glycinemax15","Glycinemax15r6",189.059042440808
"164","Glycine","max","2/6/15",15,6,22.81333989,-0.77054406,0.77054406,0.01832421867,"Glycinemax15","Glycinemax15r6",520.448476936665
"165","Glycine","max","2/6/15",15,6,31.7864345,-1.65632718,1.65632718,0.03938892401,"Glycinemax15","Glycinemax15r6",1010.37741822279
"166","Glycine","max","2/6/15",15,6,40.88624832,-3.35246496,3.35246496,0.07972457926,"Glycinemax15","Glycinemax15r6",1671.6853016847
"167","Glycine","max","2/6/15",15,6,46.6359587,-3.813449594,3.813449594,0.0906872012,"Glycinemax15","Glycinemax15r6",2174.91264386811
"168","Glycine","max","12/19/14",20,1,13.80630996,-0.240586355,0.240586355,0.004669249488,"Glycinemax20","Glycinemax20r1",190.614194711595
"169","Glycine","max","12/19/14",20,1,23.48031044,-0.711849949,0.711849949,0.01381543443,"Glycinemax20","Glycinemax20r1",551.324978358773
"170","Glycine","max","12/19/14",20,1,31.92465442,-0.837789616,0.837789616,0.01625964505,"Glycinemax20","Glycinemax20r1",1019.18355983643
"171","Glycine","max","12/19/14",20,1,41.01456139,-1.865009249,1.865009249,0.03619570812,"Glycinemax20","Glycinemax20r1",1682.19424601408
"172","Glycine","max","12/19/14",20,1,42.63736708,-1.810408376,1.810408376,0.03513602584,"Glycinemax20","Glycinemax20r1",1817.94507151467
"178","Glycine","max","12/19/14",20,3,13.81162038,-0.615853888,0.615853888,0.01235371996,"Glycinemax20","Glycinemax20r3",190.760857521231
"179","Glycine","max","12/19/14",20,3,22.77154732,-0.37735055,0.37735055,0.007569462682,"Glycinemax20","Glycinemax20r3",518.543367346999
"180","Glycine","max","12/19/14",20,3,31.80741159,-1.703966736,1.703966736,0.03418071768,"Glycinemax20","Glycinemax20r3",1011.71143205567
"181","Glycine","max","12/19/14",20,3,40.92055446,-2.695679606,2.695679606,0.05407398023,"Glycinemax20","Glycinemax20r3",1674.49177731383
"182","Glycine","max","12/19/14",20,3,44.61079216,-2.95961235,2.95961235,0.05936833863,"Glycinemax20","Glycinemax20r3",1990.12277714272
"183","Glycine","max","12/29/14",25,1,13.38552554,-0.039574014,0.039574014,0.001207347679,"Glycinemax25","Glycinemax25r1",179.172293981992
"184","Glycine","max","12/29/14",25,1,22.95568388,-0.874160005,0.874160005,0.02666939607,"Glycinemax25","Glycinemax25r1",526.963422398492
"185","Glycine","max","12/29/14",25,1,32.10804107,-1.251054331,1.251054331,0.03816791353,"Glycinemax25","Glycinemax25r1",1030.92630135281
"186","Glycine","max","12/29/14",25,1,40.99312274,-1.958600361,1.958600361,0.05975415084,"Glycinemax25","Glycinemax25r1",1680.4361119767
"187","Glycine","max","12/29/14",25,1,44.48533664,-2.84179648,2.84179648,0.08669922609,"Glycinemax25","Glycinemax25r1",1978.94517597413
"198","Glycine","max","1/22/15",30,1,13.2164312,-0.262128204,0.262128204,0.007525976928,"Glycinemax30","Glycinemax30r1",174.674053664333
"199","Glycine","max","1/22/15",30,1,23.06882087,-0.299831716,0.299831716,0.00860848448,"Glycinemax30","Glycinemax30r1",532.170496332148
"200","Glycine","max","1/22/15",30,1,32.29691592,-0.772547402,0.772547402,0.0221806499,"Glycinemax30","Glycinemax30r1",1043.09077794355
"201","Glycine","max","1/22/15",30,1,40.44584881,-1.62640764,1.62640764,0.04669587702,"Glycinemax30","Glycinemax30r1",1635.86668596138
"202","Glycine","max","1/22/15",30,1,40.6076083,-1.507340532,1.507340532,0.04327733489,"Glycinemax30","Glycinemax30r1",1648.97785184623
"203","Glycine","max","1/22/15",30,2,13.80842391,-0.747958853,0.747958853,0.02293388183,"Glycinemax30","Glycinemax30r2",190.67257087826
"204","Glycine","max","1/22/15",30,2,23.00891271,-1.189122911,1.189122911,0.03646083501,"Glycinemax30","Glycinemax30r2",529.4100640964
"205","Glycine","max","1/22/15",30,2,32.06579018,-1.685592856,1.685592856,0.05168357486,"Glycinemax30","Glycinemax30r2",1028.21489986778
"206","Glycine","max","1/22/15",30,2,41.12788512,-2.502630502,2.502630502,0.07673554763,"Glycinemax30","Glycinemax30r2",1691.50293444392
"207","Glycine","max","1/22/15",30,2,45.00027339,-2.695918142,2.695918142,0.08266212486,"Glycinemax30","Glycinemax30r2",2025.02460517474
"208","Glycine","max","1/22/15",30,3,13.68373904,-0.420963105,0.420963105,0.01442215594,"Glycinemax30","Glycinemax30r3",187.24471411482
"209","Glycine","max","1/22/15",30,3,22.92719601,-1.042908826,1.042908826,0.03572995721,"Glycinemax30","Glycinemax30r3",525.65631688096
"210","Glycine","max","1/22/15",30,3,31.93137244,-1.796298323,1.796298323,0.06154100973,"Glycinemax30","Glycinemax30r3",1019.61254590199
"211","Glycine","max","1/22/15",30,3,40.94403737,-2.458738212,2.458738212,0.08423613733,"Glycinemax30","Glycinemax30r3",1676.41419615596
"212","Glycine","max","1/22/15",30,3,43.92588002,-2.771926415,2.771926415,0.09496593541,"Glycinemax30","Glycinemax30r3",1929.48293553144
"213","Glycine","max","2/4/15",30,4,13.86645031,-0.573586799,0.573586799,0.01819174565,"Glycinemax30","Glycinemax30r4",192.278444199699
"214","Glycine","max","2/4/15",30,4,22.86948744,-1.272484705,1.272484705,0.04035782921,"Glycinemax30","Glycinemax30r4",523.013455768318
"215","Glycine","max","2/4/15",30,4,31.92834351,-2.149459285,2.149459285,0.06817175124,"Glycinemax30","Glycinemax30r4",1019.41911929256
"216","Glycine","max","2/4/15",30,4,40.91502629,-3.224916992,3.224916992,0.102280718,"Glycinemax30","Glycinemax30r4",1674.03937631139
"217","Glycine","max","2/4/15",30,4,44.07198472,-3.145996558,3.145996558,0.09977769583,"Glycinemax30","Glycinemax30r4",1942.33983715991
"218","Glycine","max","2/4/15",30,5,13.71498912,-0.537899387,0.537899387,0.01443396074,"Glycinemax30","Glycinemax30r5",188.100926561718
"219","Glycine","max","2/4/15",30,5,23.32543044,-1.105850355,1.105850355,0.02967432386,"Glycinemax30","Glycinemax30r5",544.075705211279
"220","Glycine","max","2/4/15",30,5,32.61283957,-1.829987294,1.829987294,0.04910577218,"Glycinemax30","Glycinemax30r5",1063.59730481856
"221","Glycine","max","2/4/15",30,5,41.37109947,-2.502418307,2.502418307,0.06714974672,"Glycinemax30","Glycinemax30r5",1711.56787135663
"222","Glycine","max","2/4/15",30,5,42.07064255,-2.742310312,2.742310312,0.07358699477,"Glycinemax30","Glycinemax30r5",1769.93896456987
"223","Glycine","max","2/4/15",30,6,13.72819851,-0.44878019,0.44878019,0.01367577489,"Glycinemax30","Glycinemax30r6",188.463434329966
"224","Glycine","max","2/4/15",30,6,22.6840838,-1.043285812,1.043285812,0.03179227212,"Glycinemax30","Glycinemax30r6",514.567657845422
"225","Glycine","max","2/4/15",30,6,31.77554383,-1.880614477,1.880614477,0.05730836795,"Glycinemax30","Glycinemax30r6",1009.68518569225
"226","Glycine","max","2/4/15",30,6,40.85941775,-2.773605045,2.773605045,0.08452066088,"Glycinemax30","Glycinemax30r6",1669.49201886902
"227","Glycine","max","2/4/15",30,6,44.97798383,-2.948910395,2.948910395,0.08986277837,"Glycinemax30","Glycinemax30r6",2023.01902941174
"228","Glycine","max","3/10/15",35,1,13.71761153,-0.191603807,0.191603807,0.006641680692,"Glycinemax35","Glycinemax35r1",188.172866087989
"229","Glycine","max","3/10/15",35,1,23.42156636,-0.992093373,0.992093373,0.03438954329,"Glycinemax35","Glycinemax35r1",548.569770755884
"230","Glycine","max","3/10/15",35,1,32.18642625,-1.955041153,1.955041153,0.06776879493,"Glycinemax35","Glycinemax35r1",1035.96603474669
"231","Glycine","max","3/10/15",35,1,40.85637249,-2.396998967,2.396998967,0.0830886507,"Glycinemax35","Glycinemax35r1",1669.24317304163
"232","Glycine","max","3/10/15",35,1,41.38712068,-2.404949518,2.404949518,0.08336424554,"Glycinemax35","Glycinemax35r1",1712.89375818088
"243","Pinus","nigra","1/19/15",15,2,13.87386994,-0.575021951,0.698690098,0.003778895622,"Pinusnigra15","Pinusnigra15r2",192.484267112036
"244","Pinus","nigra","1/19/15",15,2,23.05661496,-0.943733495,1.146699265,0.006201972583,"Pinusnigra15","Pinusnigra15r2",531.607493413696
"245","Pinus","nigra","1/19/15",15,2,32.06171903,-1.973600621,2.398056648,0.01296999313,"Pinusnigra15","Pinusnigra15r2",1027.95382715866
"246","Pinus","nigra","1/19/15",15,2,41.25755761,-3.226857228,3.920847179,0.0212060716,"Pinusnigra15","Pinusnigra15r2",1702.18605994247
"247","Pinus","nigra","1/19/15",15,2,44.49941018,-3.525904845,4.284210019,0.02317133524,"Pinusnigra15","Pinusnigra15r2",1980.19750636789
"248","Pinus","nigra","1/19/15",15,3,13.78209305,-0.803162481,0.352909182,0.002650701257,"Pinusnigra15","Pinusnigra15r3",189.946088838858
"249","Pinus","nigra","1/19/15",15,3,22.84172347,-1.103835878,0.485024919,0.0036430227,"Pinusnigra15","Pinusnigra15r3",521.744331079949
"250","Pinus","nigra","1/19/15",15,3,31.88143809,-2.026529271,0.890455923,0.006688215417,"Pinusnigra15","Pinusnigra15r3",1016.4260946865
"251","Pinus","nigra","1/19/15",15,3,40.83013916,-3.123423947,1.372430881,0.01030832986,"Pinusnigra15","Pinusnigra15r3",1667.10026382497
"252","Pinus","nigra","1/19/15",15,3,45.80536849,-3.813850864,1.675804115,0.01258696655,"Pinusnigra15","Pinusnigra15r3",2098.13178250468
"253","Pinus","nigra","1/9/15",20,1,13.77799554,-0.228614148,0.280795269,0.001754072745,"Pinusnigra20","Pinusnigra20r1",189.83316110026
"254","Pinus","nigra","1/9/15",20,1,22.73741991,-0.081269775,0.099819581,0.0006235532631,"Pinusnigra20","Pinusnigra20r1",516.990264163664
"255","Pinus","nigra","1/9/15",20,1,32.04101077,-0.601742938,0.739090609,0.004616953488,"Pinusnigra20","Pinusnigra20r1",1026.62637116326
"256","Pinus","nigra","1/9/15",20,1,40.96199344,-1.55698478,1.912366158,0.01194617478,"Pinusnigra20","Pinusnigra20r1",1677.8849065786
"257","Pinus","nigra","1/9/15",20,1,43.60801177,-1.674876931,2.057167162,0.01285071814,"Pinusnigra20","Pinusnigra20r1",1901.65869053246
"258","Pinus","nigra","1/9/15",20,2,13.82827546,-0.393318959,0.58806722,0.00369892438,"Pinusnigra20","Pinusnigra20r2",191.221202197638
"259","Pinus","nigra","1/9/15",20,2,22.98417325,-0.949045689,1.418956924,0.008925194569,"Pinusnigra20","Pinusnigra20r2",528.272219986016
"260","Pinus","nigra","1/9/15",20,2,31.93777318,-1.516456559,2.267316062,0.01426134695,"Pinusnigra20","Pinusnigra20r2",1020.02135569713
"261","Pinus","nigra","1/9/15",20,2,41.06980813,-2.441797679,3.650831316,0.02296361453,"Pinusnigra20","Pinusnigra20r2",1686.72913983501
