"","Date","Species","GrowthT","Rep","Root_Rmass","Root_Rarea","Root_Tmeas","genus","species","Root_Tmeas2","individual"
"109","2/18/15","C.sativa",25,"r2",-0.002575,-0.39,41.57,"Cucumis","sativa",1728.0649,"Cucumissativa25r2"
"110","2/18/15","C.sativa",25,"r2",NA,NA,43.45,"Cucumis","sativa",1887.9025,"Cucumissativa25r2"
"111","1/23/15","C.sativa",30,"r1",-0.008012,-0.76,14.04,"Cucumis","sativa",197.1216,"Cucumissativa30r1"
"112","1/23/15","C.sativa",30,"r1",-0.009903,-0.94,22.82,"Cucumis","sativa",520.7524,"Cucumissativa30r1"
"113","1/23/15","C.sativa",30,"r1",-0.010017,-0.95,32,"Cucumis","sativa",1024,"Cucumissativa30r1"
"114","1/23/15","C.sativa",30,"r1",-0.012396,-1.18,40.95,"Cucumis","sativa",1676.9025,"Cucumissativa30r1"
"115","1/23/15","C.sativa",30,"r1",-0.011173,-1.06,44.12,"Cucumis","sativa",1946.5744,"Cucumissativa30r1"
"126","2/10/15","C.sativa",35,"r1",-0.014515,-1.16,13.97,"Cucumis","sativa",195.1609,"Cucumissativa35r1"
"127","2/10/15","C.sativa",35,"r1",-0.02237,-1.79,22.87,"Cucumis","sativa",523.0369,"Cucumissativa35r1"
"128","2/10/15","C.sativa",35,"r1",-0.017502,-1.4,32.02,"Cucumis","sativa",1025.2804,"Cucumissativa35r1"
"129","2/10/15","C.sativa",35,"r1",-0.014226,-1.14,40.99,"Cucumis","sativa",1680.1801,"Cucumissativa35r1"
"130","2/10/15","C.sativa",35,"r1",-0.004977,-0.4,44.53,"Cucumis","sativa",1982.9209,"Cucumissativa35r1"
"131","2/10/15","C.sativa",35,"r2",-0.01932,-1.63,13.98,"Cucumis","sativa",195.4404,"Cucumissativa35r2"
"132","2/10/15","C.sativa",35,"r2",-0.030497,-2.57,23.05,"Cucumis","sativa",531.3025,"Cucumissativa35r2"
"133","2/10/15","C.sativa",35,"r2",-0.021639,-1.82,32.14,"Cucumis","sativa",1032.9796,"Cucumissativa35r2"
"134","2/10/15","C.sativa",35,"r2",-0.008151,-0.69,41.2,"Cucumis","sativa",1697.44,"Cucumissativa35r2"
"135","2/10/15","C.sativa",35,"r2",NA,NA,45.14,"Cucumis","sativa",2037.6196,"Cucumissativa35r2"
"146","1/7/15","G.max",15,"r2",-0.016475,-2.94,14.05,"Glycine","max",197.4025,"Glycinemax15r2"
"147","1/7/15","G.max",15,"r2",-0.018602,-3.32,23.01,"Glycine","max",529.4601,"Glycinemax15r2"
"148","1/7/15","G.max",15,"r2",-0.019805,-3.54,32.03,"Glycine","max",1025.9209,"Glycinemax15r2"
"149","1/7/15","G.max",15,"r2",-0.011128,-1.99,41.5,"Glycine","max",1722.25,"Glycinemax15r2"
"150","1/7/15","G.max",15,"r2",-0.000887,-0.16,44.09,"Glycine","max",1943.9281,"Glycinemax15r2"
"151","1/7/15","G.max",15,"r3",-0.015065,-2.27,14.13,"Glycine","max",199.6569,"Glycinemax15r3"
"152","1/7/15","G.max",15,"r3",-0.017462,-2.64,22.73,"Glycine","max",516.6529,"Glycinemax15r3"
"153","1/7/15","G.max",15,"r3",-0.018515,-2.8,31.87,"Glycine","max",1015.6969,"Glycinemax15r3"
"154","1/7/15","G.max",15,"r3",-0.015485,-2.34,40.78,"Glycine","max",1663.0084,"Glycinemax15r3"
"155","1/7/15","G.max",15,"r3",-0.004411,-0.67,45.3,"Glycine","max",2052.09,"Glycinemax15r3"
"156","2/6/15","G.max",15,"r4",-0.01084,-1.4,13.88,"Glycine","max",192.6544,"Glycinemax15r4"
"157","2/6/15","G.max",15,"r4",-0.023357,-3.01,22.93,"Glycine","max",525.7849,"Glycinemax15r4"
"158","2/6/15","G.max",15,"r4",-0.012865,-1.66,32.01,"Glycine","max",1024.6401,"Glycinemax15r4"
"159","2/6/15","G.max",15,"r4",-0.006463,-0.83,40.94,"Glycine","max",1676.0836,"Glycinemax15r4"
"160","2/6/15","G.max",15,"r4",NA,NA,44.23,"Glycine","max",1956.2929,"Glycinemax15r4"
"161","2/6/15","G.max",15,"r5",NA,NA,13.88,"Glycine","max",192.6544,"Glycinemax15r5"
"162","2/6/15","G.max",15,"r5",-0.01407,-2.06,23.05,"Glycine","max",531.3025,"Glycinemax15r5"
"163","2/6/15","G.max",15,"r5",-0.020584,-3.02,32.13,"Glycine","max",1032.3369,"Glycinemax15r5"
"164","2/6/15","G.max",15,"r5",-0.016988,-2.49,40.99,"Glycine","max",1680.1801,"Glycinemax15r5"
"165","2/6/15","G.max",15,"r5",-0.006535,-0.96,44.18,"Glycine","max",1951.8724,"Glycinemax15r5"
"166","2/6/15","G.max",15,"r6",-0.017949,-2.56,13.8,"Glycine","max",190.44,"Glycinemax15r6"
"167","2/6/15","G.max",15,"r6",-0.019289,-2.75,22.92,"Glycine","max",525.3264,"Glycinemax15r6"
"168","2/6/15","G.max",15,"r6",-0.008862,-1.27,31.98,"Glycine","max",1022.7204,"Glycinemax15r6"
"169","2/6/15","G.max",15,"r6",-0.00441,-0.63,40.93,"Glycine","max",1675.2649,"Glycinemax15r6"
"170","2/6/15","G.max",15,"r6",-0.000826,-0.12,46.28,"Glycine","max",2141.8384,"Glycinemax15r6"
"171","12/19/14","G.max",20,"r1",-0.021793,-1.95,13.9,"Glycine","max",193.21,"Glycinemax20r1"
"172","12/19/14","G.max",20,"r1",-0.020989,-1.88,22.71,"Glycine","max",515.7441,"Glycinemax20r1"
"173","12/19/14","G.max",20,"r1",-0.012879,-1.15,31.8,"Glycine","max",1011.24,"Glycinemax20r1"
"174","12/19/14","G.max",20,"r1",-0.009019,-0.81,40.96,"Glycine","max",1677.7216,"Glycinemax20r1"
"175","12/19/14","G.max",20,"r1",-0.002781,-0.25,44.41,"Glycine","max",1972.2481,"Glycinemax20r1"
"181","12/19/14","G.max",20,"r3",-0.011353,-0.85,13.87,"Glycine","max",192.3769,"Glycinemax20r3"
"182","12/19/14","G.max",20,"r3",-0.01812,-1.35,22.9,"Glycine","max",524.41,"Glycinemax20r3"
"183","12/19/14","G.max",20,"r3",-0.011546,-0.86,31.92,"Glycine","max",1018.8864,"Glycinemax20r3"
"184","12/19/14","G.max",20,"r3",-0.00645,-0.48,40.92,"Glycine","max",1674.4464,"Glycinemax20r3"
"185","12/19/14","G.max",20,"r3",NA,NA,45.8,"Glycine","max",2097.64,"Glycinemax20r3"
"186","12/29/14","G.max",25,"r1",-0.019396,-1.12,13.95,"Glycine","max",194.6025,"Glycinemax25r1"
"187","12/29/14","G.max",25,"r1",-0.020323,-1.18,22.88,"Glycine","max",523.4944,"Glycinemax25r1"
"188","12/29/14","G.max",25,"r1",-0.013688,-0.79,31.86,"Glycine","max",1015.0596,"Glycinemax25r1"
"189","12/29/14","G.max",25,"r1",-0.011725,-0.68,41.45,"Glycine","max",1718.1025,"Glycinemax25r1"
"190","12/29/14","G.max",25,"r1",-0.003026,-0.18,44.01,"Glycine","max",1936.8801,"Glycinemax25r1"
"196","1/22/15","G.max",30,"r1",-0.008625,-1.2,13.92,"Glycine","max",193.7664,"Glycinemax30r1"
"197","1/22/15","G.max",30,"r1",-0.007018,-0.98,23,"Glycine","max",529,"Glycinemax30r1"
"198","1/22/15","G.max",30,"r1",-0.00773,-1.07,31.95,"Glycine","max",1020.8025,"Glycinemax30r1"
"199","1/22/15","G.max",30,"r1",-0.005397,-0.75,41.13,"Glycine","max",1691.6769,"Glycinemax30r1"
"200","1/22/15","G.max",30,"r1",-0.003008,-0.42,44.07,"Glycine","max",1942.1649,"Glycinemax30r1"
"201","1/22/15","G.max",30,"r2",NA,NA,14.01,"Glycine","max",196.2801,"Glycinemax30r2"
"202","1/22/15","G.max",30,"r2",-0.016168,-2.83,23,"Glycine","max",529,"Glycinemax30r2"
"203","1/22/15","G.max",30,"r2",-0.020848,-3.64,32.13,"Glycine","max",1032.3369,"Glycinemax30r2"
"204","1/22/15","G.max",30,"r2",-0.02374,-4.15,41.03,"Glycine","max",1683.4609,"Glycinemax30r2"
"205","1/22/15","G.max",30,"r2",-0.017742,-3.1,44.91,"Glycine","max",2016.9081,"Glycinemax30r2"
"206","1/22/15","G.max",30,"r3",-0.003935,-0.56,13.9,"Glycine","max",193.21,"Glycinemax30r3"
"207","1/22/15","G.max",30,"r3",-0.025535,-3.65,22.95,"Glycine","max",526.7025,"Glycinemax30r3"
"208","1/22/15","G.max",30,"r3",-0.023629,-3.37,31.99,"Glycine","max",1023.3601,"Glycinemax30r3"
"209","1/22/15","G.max",30,"r3",-0.02718,-3.88,40.97,"Glycine","max",1678.5409,"Glycinemax30r3"
"210","1/22/15","G.max",30,"r3",-0.015053,-2.15,46.68,"Glycine","max",2179.0224,"Glycinemax30r3"
"211","2/4/15","G.max",30,"r4",-0.005131,-0.65,13.97,"Glycine","max",195.1609,"Glycinemax30r4"
"212","2/4/15","G.max",30,"r4",-0.007819,-0.98,23.01,"Glycine","max",529.4601,"Glycinemax30r4"
"213","2/4/15","G.max",30,"r4",-0.007498,-0.94,31.98,"Glycine","max",1022.7204,"Glycinemax30r4"
"214","2/4/15","G.max",30,"r4",-0.009081,-1.14,40.82,"Glycine","max",1666.2724,"Glycinemax30r4"
"215","2/4/15","G.max",30,"r4",NA,NA,44.38,"Glycine","max",1969.5844,"Glycinemax30r4"
"216","2/4/15","G.max",30,"r5",-0.013423,-2.35,14.1,"Glycine","max",198.81,"Glycinemax30r5"
"217","2/4/15","G.max",30,"r5",-0.013095,-2.29,22.92,"Glycine","max",525.3264,"Glycinemax30r5"
"218","2/4/15","G.max",30,"r5",-0.013287,-2.32,32.12,"Glycine","max",1031.6944,"Glycinemax30r5"
"219","2/4/15","G.max",30,"r5",-0.010339,-1.81,41.15,"Glycine","max",1693.3225,"Glycinemax30r5"
"220","2/4/15","G.max",30,"r5",-0.008251,-1.44,45.07,"Glycine","max",2031.3049,"Glycinemax30r5"
"221","2/4/15","G.max",30,"r6",-0.012936,-1.85,13.82,"Glycine","max",190.9924,"Glycinemax30r6"
"222","2/4/15","G.max",30,"r6",-0.015811,-2.26,22.98,"Glycine","max",528.0804,"Glycinemax30r6"
"223","2/4/15","G.max",30,"r6",-0.013452,-1.92,31.97,"Glycine","max",1022.0809,"Glycinemax30r6"
"224","2/4/15","G.max",30,"r6",-0.009187,-1.31,40.93,"Glycine","max",1675.2649,"Glycinemax30r6"
"225","2/4/15","G.max",30,"r6",-0.005357,-0.77,46.03,"Glycine","max",2118.7609,"Glycinemax30r6"
"226","3/10/15","G.max",35,"r1",-0.009325,-0.73,13.73,"Glycine","max",188.5129,"Glycinemax35r1"
"227","3/10/15","G.max",35,"r1",-0.006154,-0.48,23.03,"Glycine","max",530.3809,"Glycinemax35r1"
"228","3/10/15","G.max",35,"r1",-0.005308,-0.41,31.99,"Glycine","max",1023.3601,"Glycinemax35r1"
"229","3/10/15","G.max",35,"r1",-0.01205,-0.94,40.96,"Glycine","max",1677.7216,"Glycinemax35r1"
"230","3/10/15","G.max",35,"r1",-0.012868,-1,44.33,"Glycine","max",1965.1489,"Glycinemax35r1"
"241","1/19/15","P.nigra",15,"r2",-0.005632,-0.54,13.97,"Pinus","nigra",195.1609,"Pinusnigra15r2"
"242","1/19/15","P.nigra",15,"r2",-0.008967,-0.86,23.12,"Pinus","nigra",534.5344,"Pinusnigra15r2"
"243","1/19/15","P.nigra",15,"r2",-0.009228,-0.88,31.93,"Pinus","nigra",1019.5249,"Pinusnigra15r2"
"244","1/19/15","P.nigra",15,"r2",-0.006488,-0.62,41.09,"Pinus","nigra",1688.3881,"Pinusnigra15r2"
"245","1/19/15","P.nigra",15,"r2",-0.001123,-0.11,44.58,"Pinus","nigra",1987.3764,"Pinusnigra15r2"
"246","1/19/15","P.nigra",15,"r3",-0.002823,-0.24,13.9,"Pinus","nigra",193.21,"Pinusnigra15r3"
"247","1/19/15","P.nigra",15,"r3",-0.006492,-0.56,22.99,"Pinus","nigra",528.5401,"Pinusnigra15r3"
"248","1/19/15","P.nigra",15,"r3",-0.007527,-0.65,31.91,"Pinus","nigra",1018.2481,"Pinusnigra15r3"
"249","1/19/15","P.nigra",15,"r3",-0.001139,-0.1,40.85,"Pinus","nigra",1668.7225,"Pinusnigra15r3"
"250","1/19/15","P.nigra",15,"r3",NA,NA,45.1,"Pinus","nigra",2034.01,"Pinusnigra15r3"
"251","1/9/15","P.nigra",20,"r1",-0.005,-0.38,13.98,"Pinus","nigra",195.4404,"Pinusnigra20r1"
"252","1/9/15","P.nigra",20,"r1",-0.005994,-0.45,22.92,"Pinus","nigra",525.3264,"Pinusnigra20r1"
"253","1/9/15","P.nigra",20,"r1",-0.005785,-0.44,32.02,"Pinus","nigra",1025.2804,"Pinusnigra20r1"
"254","1/9/15","P.nigra",20,"r1",-0.002298,-0.17,41.2,"Pinus","nigra",1697.44,"Pinusnigra20r1"
"255","1/9/15","P.nigra",20,"r1",-0.003579,-0.27,44.87,"Pinus","nigra",2013.3169,"Pinusnigra20r1"
"256","1/9/15","P.nigra",20,"r2",NA,NA,14.09,"Pinus","nigra",198.5281,"Pinusnigra20r2"
"257","1/9/15","P.nigra",20,"r2",-0.009753,-1.03,22.95,"Pinus","nigra",526.7025,"Pinusnigra20r2"
"258","1/9/15","P.nigra",20,"r2",-0.01574,-1.66,32.01,"Pinus","nigra",1024.6401,"Pinusnigra20r2"
"259","1/9/15","P.nigra",20,"r2",-0.016167,-1.7,41.08,"Pinus","nigra",1687.5664,"Pinusnigra20r2"
"260","1/9/15","P.nigra",20,"r2",-0.015941,-1.68,44.64,"Pinus","nigra",1992.7296,"Pinusnigra20r2"
"261","1/9/15","P.nigra",20,"r3",-0.012966,-1.42,13.9,"Pinus","nigra",193.21,"Pinusnigra20r3"
"262","1/9/15","P.nigra",20,"r3",-0.009162,-1,22.9,"Pinus","nigra",524.41,"Pinusnigra20r3"
"263","1/9/15","P.nigra",20,"r3",-0.014014,-1.54,31.93,"Pinus","nigra",1019.5249,"Pinusnigra20r3"
"264","1/9/15","P.nigra",20,"r3",-0.006137,-0.67,40.93,"Pinus","nigra",1675.2649,"Pinusnigra20r3"
"265","1/9/15","P.nigra",20,"r3",-0.000758,-0.08,46.01,"Pinus","nigra",2116.9201,"Pinusnigra20r3"
"266","12/11/14","P.nigra",25,"r1",-0.005753,-0.5,13.87,"Pinus","nigra",192.3769,"Pinusnigra25r1"
"267","12/11/14","P.nigra",25,"r1",-0.009334,-0.81,22.95,"Pinus","nigra",526.7025,"Pinusnigra25r1"
"268","12/11/14","P.nigra",25,"r1",-0.021182,-1.84,31.93,"Pinus","nigra",1019.5249,"Pinusnigra25r1"
"269","12/11/14","P.nigra",25,"r1",-0.013402,-1.16,40.85,"Pinus","nigra",1668.7225,"Pinusnigra25r1"
"270","12/11/14","P.nigra",25,"r1",-0.015759,-1.37,44.96,"Pinus","nigra",2021.4016,"Pinusnigra25r1"
"271","12/11/14","P.nigra",25,"r2",-0.004056,-0.44,14.11,"Pinus","nigra",199.0921,"Pinusnigra25r2"
"272","12/11/14","P.nigra",25,"r2",-0.00564,-0.61,23.16,"Pinus","nigra",536.3856,"Pinusnigra25r2"
"273","12/11/14","P.nigra",25,"r2",-0.008625,-0.94,32.1,"Pinus","nigra",1030.41,"Pinusnigra25r2"
"274","12/11/14","P.nigra",25,"r2",-0.010329,-1.12,41.13,"Pinus","nigra",1691.6769,"Pinusnigra25r2"
"275","12/11/14","P.nigra",25,"r2",NA,NA,44.84,"Pinus","nigra",2010.6256,"Pinusnigra25r2"
"276","12/11/14","P.nigra",25,"r3",-0.008675,-0.81,13.9,"Pinus","nigra",193.21,"Pinusnigra25r3"
"277","12/11/14","P.nigra",25,"r3",-0.008684,-0.81,22.89,"Pinus","nigra",523.9521,"Pinusnigra25r3"
"278","12/11/14","P.nigra",25,"r3",-0.007469,-0.7,31.95,"Pinus","nigra",1020.8025,"Pinusnigra25r3"
"279","12/11/14","P.nigra",25,"r3",-0.006203,-0.58,40.94,"Pinus","nigra",1676.0836,"Pinusnigra25r3"
"280","12/11/14","P.nigra",25,"r3",-0.002564,-0.24,45.59,"Pinus","nigra",2078.4481,"Pinusnigra25r3"
"281","1/28/15","P.nigra",30,"r1",-0.002782,-0.28,14.07,"Pinus","nigra",197.9649,"Pinusnigra30r1"
"282","1/28/15","P.nigra",30,"r1",-0.002372,-0.24,23.08,"Pinus","nigra",532.6864,"Pinusnigra30r1"
"283","1/28/15","P.nigra",30,"r1",-0.002977,-0.3,32.01,"Pinus","nigra",1024.6401,"Pinusnigra30r1"
"284","1/28/15","P.nigra",30,"r1",-0.007287,-0.74,40.98,"Pinus","nigra",1679.3604,"Pinusnigra30r1"
"285","1/28/15","P.nigra",30,"r1",-0.004776,-0.48,44.37,"Pinus","nigra",1968.6969,"Pinusnigra30r1"
"286","1/28/15","P.nigra",30,"r3",-0.002685,-0.26,13.92,"Pinus","nigra",193.7664,"Pinusnigra30r3"
"287","1/28/15","P.nigra",30,"r3",-0.007538,-0.73,22.98,"Pinus","nigra",528.0804,"Pinusnigra30r3"
"288","1/28/15","P.nigra",30,"r3",-0.009109,-0.88,31.97,"Pinus","nigra",1022.0809,"Pinusnigra30r3"
"289","1/28/15","P.nigra",30,"r3",-0.009524,-0.92,40.92,"Pinus","nigra",1674.4464,"Pinusnigra30r3"
"290","1/28/15","P.nigra",30,"r3",-0.002433,-0.24,46.68,"Pinus","nigra",2179.0224,"Pinusnigra30r3"
"291","11/20/14","P.nigra",35,"r1",-0.006403,-0.56,13.92,"Pinus","nigra",193.7664,"Pinusnigra35r1"
"292","11/20/14","P.nigra",35,"r1",-0.008656,-0.76,22.8,"Pinus","nigra",519.84,"Pinusnigra35r1"
"293","11/20/14","P.nigra",35,"r1",-0.010326,-0.9,31.99,"Pinus","nigra",1023.3601,"Pinusnigra35r1"
"294","11/20/14","P.nigra",35,"r1",-0.013282,-1.16,40.97,"Pinus","nigra",1678.5409,"Pinusnigra35r1"
"295","11/20/14","P.nigra",35,"r1",-0.006236,-0.54,44.9,"Pinus","nigra",2016.01,"Pinusnigra35r1"
